,Label,Feature,Correlation
75,MITM_DOS,Fwd IAT Max,0.6276412657923335
76,MITM_DOS,Bwd PSH Flags,0.5927489783638196
77,MITM_DOS,Fwd Seg Size Min,0.5786584428557966
78,MITM_DOS,TotLen Bwd Pkts,0.553566181286979
79,MITM_DOS,Idle Max,0.5426770751335928
80,ARP_POISONING,Protocol,1.0000000000000009
81,ARP_POISONING,Encoded_Label,1.0000000000000004
82,ARP_POISONING,ACK Flag Cnt,1.0
83,ARP_POISONING,Bwd PSH Flags,1.0
84,ARP_POISONING,PSH Flag Cnt,1.0
85,ARP_POISONING,Fwd Pkt Len Min,0.99909034635847
86,ARP_POISONING,Pkt Len Min,0.9961792822450528
87,ARP_POISONING,Bwd Pkt Len Min,0.9960880420724919
88,ARP_POISONING,Down/Up Ratio,0.9719179503789036
89,ARP_POISONING,Bwd Pkts/s,0.9716088775321604
90,ARP_POISONING,Flow Byts/s,0.9269269944184941
91,ARP_POISONING,Tot Fwd Pkts,0.8975620542508029
92,ARP_POISONING,Fwd Pkts/s,0.8934367576016009
93,ARP_POISONING,Dst Port,0.8566413240921246
94,ARP_POISONING,Init Bwd Win Byts,0.8352913105420066
95,ARP_POISONING,Fwd Seg Size Avg,0.8080881531472373
96,ARP_POISONING,Fwd Pkt Len Mean,0.8080881531472373
97,ARP_POISONING,TotLen Fwd Pkts,0.8056978514305563
98,ARP_POISONING,Subflow Fwd Byts,0.8056978514305563
99,ARP_POISONING,Pkt Len Mean,0.7838498920497149
100,WARM_RESTART,Encoded_Label,1.0000000000000007
101,WARM_RESTART,Fwd Pkt Len Min,0.9586809277453298
102,WARM_RESTART,Subflow Fwd Pkts,0.6276312596181847
103,WARM_RESTART,Fwd Act Data Pkts,0.6276312596181847
104,WARM_RESTART,Tot Fwd Pkts,0.6276312596181847
105,WARM_RESTART,Fwd Header Len,0.6276114130394935
106,WARM_RESTART,Bwd Header Len,0.6264543274594031
107,WARM_RESTART,Subflow Bwd Pkts,0.6264543274594031
108,WARM_RESTART,Tot Bwd Pkts,0.6264543274594031
109,WARM_RESTART,Pkt Len Min,0.6081636405595378
110,WARM_RESTART,TotLen Bwd Pkts,0.5920172621855296
111,WARM_RESTART,Subflow Bwd Byts,0.5920172621855296
112,WARM_RESTART,Subflow Fwd Byts,0.565314624904454
113,WARM_RESTART,TotLen Fwd Pkts,0.565314624904454
114,WARM_RESTART,Fwd IAT Tot,0.5612547575667871
115,WARM_RESTART,Bwd IAT Tot,0.5564375836592691
116,WARM_RESTART,Flow Duration,0.5552940145800976
117,WARM_RESTART,Dst Port,0.5219680676736759
118,WARM_RESTART,Bwd Pkt Len Min,0.5173249497917933
119,WARM_RESTART,Bwd Pkt Len Max,0.4739487073246609
120,REPLAY,Encoded_Label,1.0000000000000002
121,REPLAY,Bwd Pkts/s,0.9234001335620836
122,REPLAY,Flow Pkts/s,0.9219509238972604
123,REPLAY,Fwd Pkts/s,0.9167015287424131
124,REPLAY,Idle Max,0.7961018085108111
125,REPLAY,Flow IAT Max,0.7809098375803177
126,REPLAY,Fwd IAT Max,0.778996538740737
127,REPLAY,Idle Mean,0.7600721171239312
128,REPLAY,Bwd IAT Max,0.7171002996818857
129,REPLAY,Init Bwd Win Byts,0.6984515358054582
130,REPLAY,Idle Std,0.6587468453219953
131,REPLAY,Flow IAT Std,0.6556572804542172
132,REPLAY,Fwd IAT Std,0.6518380345304791
133,REPLAY,Flow Byts/s,0.6444928403463004
134,REPLAY,Subflow Fwd Byts,0.6429447354445398
135,REPLAY,TotLen Fwd Pkts,0.6429447354445398
136,REPLAY,Fwd IAT Mean,0.6185706199151856
137,REPLAY,Bwd Seg Size Avg,0.6006934959010879
138,REPLAY,Bwd Pkt Len Mean,0.6006934959010876
139,REPLAY,Idle Min,0.5996759813386651
140,DNP3_ENUMERATE,Encoded_Label,1.0
141,DNP3_ENUMERATE,Pkt Len Var,0.9998575200651664
142,DNP3_ENUMERATE,Fwd Pkt Len Min,0.99909034635847
143,DNP3_ENUMERATE,Bwd Seg Size Avg,0.9982116987782084
144,DNP3_ENUMERATE,Bwd Pkt Len Mean,0.9982116987782084
145,DNP3_ENUMERATE,Pkt Len Std,0.9971492894703133
146,DNP3_ENUMERATE,Bwd Pkt Len Std,0.9970640458543768
147,DNP3_ENUMERATE,Down/Up Ratio,0.9719179503789036
148,DNP3_ENUMERATE,Fwd Pkts/s,0.9700428871470197
149,DNP3_ENUMERATE,Bwd Pkt Len Max,0.967478202732822
150,DNP3_ENUMERATE,Pkt Len Max,0.9655050101319512
151,DNP3_ENUMERATE,Pkt Size Avg,0.9232853395312809
152,DNP3_ENUMERATE,Pkt Len Mean,0.9209014210559768
153,DNP3_ENUMERATE,Fwd Pkt Len Mean,0.8080881531472373
154,DNP3_ENUMERATE,Fwd Seg Size Avg,0.8080881531472373
155,DNP3_ENUMERATE,Subflow Fwd Byts,0.8056978514305563
156,DNP3_ENUMERATE,TotLen Fwd Pkts,0.8056978514305563
157,DNP3_ENUMERATE,Flow Duration,0.7493468972041427
158,DNP3_ENUMERATE,Bwd IAT Tot,0.7492960612605467
159,DNP3_ENUMERATE,Fwd IAT Tot,0.7423725524082694
160,INIT_DATA,Encoded_Label,1.0000000000000002
161,INIT_DATA,Tot Fwd Pkts,0.5746675894903794
162,INIT_DATA,Subflow Fwd Pkts,0.5746675894903794
163,INIT_DATA,Fwd Act Data Pkts,0.5746675894903794
164,INIT_DATA,Fwd Header Len,0.574643614381599
165,INIT_DATA,Bwd Header Len,0.5710671595617514
166,INIT_DATA,Tot Bwd Pkts,0.5710671595617514
167,INIT_DATA,Subflow Bwd Pkts,0.5710671595617514
168,INIT_DATA,Fwd IAT Tot,0.564392016021413
169,INIT_DATA,Bwd IAT Tot,0.55814306457526
170,INIT_DATA,Flow Duration,0.5570106772325341
171,INIT_DATA,Pkt Len Min,0.5465357250000236
172,INIT_DATA,Fwd Pkt Len Min,0.5401789639276136
173,INIT_DATA,Bwd Pkt Len Min,0.5331139899831838
174,INIT_DATA,TotLen Bwd Pkts,0.5309413513567324
175,INIT_DATA,Subflow Bwd Byts,0.5309413513567324
176,INIT_DATA,Dst Port,0.5219718085997532
177,INIT_DATA,Subflow Fwd Byts,0.5076649126456279
178,INIT_DATA,TotLen Fwd Pkts,0.5076649126456279
179,INIT_DATA,Bwd Pkt Len Max,0.4739487073246609
180,COLD_RESTART,Encoded_Label,1.0000000000000009
181,COLD_RESTART,Fwd Pkt Len Min,0.9586809277453298
182,COLD_RESTART,Subflow Fwd Pkts,0.6276578486034213
183,COLD_RESTART,Fwd Act Data Pkts,0.6276578486034213
184,COLD_RESTART,Tot Fwd Pkts,0.6276578486034213
185,COLD_RESTART,Fwd Header Len,0.6276380031583038
186,COLD_RESTART,Bwd Header Len,0.6264786367133186
187,COLD_RESTART,Subflow Bwd Pkts,0.6264786367133186
188,COLD_RESTART,Tot Bwd Pkts,0.6264786367133186
189,COLD_RESTART,Pkt Len Min,0.6081636405595378
190,COLD_RESTART,TotLen Bwd Pkts,0.5920363750202646
191,COLD_RESTART,Subflow Bwd Byts,0.5920363750202646
192,COLD_RESTART,Subflow Fwd Byts,0.5653763319302217
193,COLD_RESTART,TotLen Fwd Pkts,0.5653763319302217
194,COLD_RESTART,Fwd IAT Tot,0.5614851850196064
195,COLD_RESTART,Bwd IAT Tot,0.5567103800488333
196,COLD_RESTART,Flow Duration,0.5555671702064262
197,COLD_RESTART,Bwd Pkt Len Min,0.5331139899831838
198,COLD_RESTART,Dst Port,0.5219674170607924
199,COLD_RESTART,Bwd Pkt Len Max,0.4739487073246609
