,Unnamed: 0,flow ID, source IP, destination IP, source port, destination port, protocol, date, duration, TotalFwdPkts, TotalBwdPkts, TotLenfwdDL, TotLenfwdTR, TotLenfwdAPP, TotLenbwdDL, TotLenbwdTR, TotLenbwdAPP, DLfwdPktLenMAX, DLfwdPktLenMIN, DLfwdPktLenMEAN, DLfwdPktLenSTD, TRfwdPktLenMAX, TRfwdPktLenMIN, TRfwdPktLenMEAN, TRfwdPktLenSTD, APPfwdPktLenMAX, APPfwdPktLenMIN, APPfwdPktLenMEAN, APPfwdPktLenSTD, DLbwdPktLenMAX, DLbwdPktLenMIN, DLbwdPktLenMEAN, DLbwdPktLenSTD, TRbwdPktLenMAX, TRbwdPktLenMIN, TRbwdPktLenMEAN, TRbwdPktLenSTD, APPbwdPktLenMAX, APPbwdPktLenMIN, APPbwdPktLenMEAN, APPbwdPktLenSTD, DLflowBytes/sec, TRflowBytes/sec, APPflowBytes/sec, FlowPkts/sec, FlowIAT_MEAN, FlowIAT_STD, FlowIAT_MAX, FlowIAT_MIN, TotalFwdIAT, fwdIAT_MEAN, fwdIAT_STD, fwdIAT_MAX, fwdIAT_MIN, TotalBwdIAT, bwdIAT_MEAN, bwdIAT_STD, bwdIAT_MAX, bwdIAT_MIN, DLfwdHdrLen, TRfwdHdrLen, APPfwdHdrLen, DLbwdHdrLen, TRbwdHdrLen, APPbwdHdrLen, fwdPkts/sec, bwdPkts/sec, DLpktLenMEAN, DLpktLenMIN, DLpktLenMAX, DLpktLenSTD, DLpktLenVAR, TRpktLenMEAN, TRpktLenMIN, TRpktLenMAX, TRpktLenSTD, TRpktLenVAR, APPpktLenMEAN, APPpktLenMIN, APPpktLenMAX, APPpktLenSTD, APPpktLenVAR, ActiveMEAN, ActiveSTD, ActiveMAX, ActiveMIN, IdleMEAN, IdleSTD, IdleMAX, IdleMIN, frameSrc, frameDst, TotPktsInFlow, firstPacketDIR, mostCommonREQ_FUNC_CODE, mostCommonRESP_FUNC_CODE, corruptConfigFragments, deviceTroubleFragments, deviceRestartFragments, pktsFromMASTER, pktsFromSLAVE,Label
24894,25,192.168.1.11-192.168.1.4-36410-20000,192.168.1.11,192.168.1.4,36410,20000,6, 16/05/2020  14:55:46 ,483,1,1,1000,999,997,7,6,2,1000,1000,1000,-1,999,999,999,-1,997,997,997,-1,7,7,7,-1,6,6,6,-1,2,2,2,-1,2084886.128,2080745.342,2068322.981,4140.786749,483,-1,483,483,0,0,0,0,0,0,0,0,0,0,10,1,2,10,1,4,2070.393375,2070.393375,503.5,7,1000,702.1570337,493024.5,502.5,6,999,702.1570337,493024.5,499.5,2,997,703.5712473,495012.5,0,0,0,0,0,0,0,0,0,0,2,MASTER,5,130,0,0,0,1,1,DNP3_ENUMERATE
3590,710,192.168.1.11-192.168.1.9-34422-20002,192.168.1.11,192.168.1.9,34422,20002,6, 15/05/2020  02:26:05 ,118053522,66,68,570,504,372,1364,1296,1024,17,8,8.636363636,2.072800882,16,7,7.636363636,2.072800882,14,5,5.636363636,2.072800882,282,7,20.05882353,54.19365011,281,6,19.05882353,54.19365011,277,2,15.05882353,54.19365011,16.38239984,15.24732146,11.82514487,1.135078376,887620.4662,971159.0103,2001101,364,118052678,1816195.046,487634.6699,2001836,19670,118052848,1761982.806,570283.9483,2001665,364,660,66,132,680,68,272,0.559068454,0.576009922,14.43283582,7,282,38.91622925,1514.472899,13.43283582,6,281,38.91622925,1514.472899,10.41791045,2,277,38.78110898,1503.974414,0,0,0,0,0,0,0,0,3,17,134,MASTER,1,129,0,0,0,66,68,DISABLE_UNSOLICITED
579,23,192.168.1.2-192.168.1.3-40837-20000,192.168.1.2,192.168.1.3,40837,20000,6, 18/05/2020  19:23:18 ,116147439,30,30,258,228,168,1098,1068,948,17,8,8.6,2.283373185,16,7,7.6,2.283373185,14,5,5.6,2.283373185,282,7,36.6,79.23931452,281,6,35.6,79.23931452,277,2,31.6,79.23931452,11.67481618,11.15823139,9.608477032,0.516584787,1968600.661,3046774.193,12057855,144,116147439,4005084.103,3602838.48,12058144,741,111113496,3831499.862,4166159.016,16183640,479,300,30,60,300,30,120,0.258292393,0.258292393,22.6,7,282,57.34203061,3288.108475,21.6,6,281,57.34203061,3288.108475,18.6,2,277,57.10210896,3260.650847,5882215.25,7683757.478,20022425,0,8636214.625,2857705.662,12057855,5033496,1,11,60,MASTER,1,129,0,0,0,30,30,REPLAY
20683,201,192.168.1.11-192.168.1.5-36435-20002,192.168.1.11,192.168.1.5,36435,20002,6, 16/05/2020  00:50:03 ,118055202,65,67,529,464,334,1357,1290,1022,17,5,8.138461538,1.712791244,16,4,7.138461538,1.712791244,14,2,5.138461538,1.712791244,282,7,20.25373134,54.57864586,281,6,19.25373134,54.57864586,277,2,15.25373134,54.57864586,15.97557726,14.85745626,11.48615205,1.118120996,901184.7481,980454.7122,2000909,142,118055012,1844609.563,470961.8346,2001301,21933,118055060,1788713.03,558376.1232,2001371,22337,650,65,130,670,67,268,0.550589884,0.567531111,14.28787879,5,282,39.23243134,1539.183669,13.28787879,4,281,39.23243134,1539.183669,10.27272727,2,277,39.08946304,1527.986121,0,0,0,0,0,0,0,0,3,13,132,MASTER,1,129,0,0,0,65,67,WARM_RESTART
24138,790,192.168.1.11-192.168.1.5-36435-20002,192.168.1.11,192.168.1.5,36435,20002,6, 16/05/2020  02:26:05 ,118059575,65,67,529,464,334,1357,1290,1022,17,5,8.138461538,1.712791244,16,4,7.138461538,1.712791244,14,2,5.138461538,1.712791244,282,7,20.25373134,54.57864586,281,6,19.25373134,54.57864586,277,2,15.25373134,54.57864586,15.97498551,14.85690593,11.48572659,1.11807958,901218.1298,981105.3259,2000714,291,118058701,1844667.203,470593.2643,2001892,137459,118058820,1788770,562332.2519,2001627,291,650,65,130,670,67,268,0.55056949,0.56751009,14.28787879,5,282,39.23243134,1539.183669,13.28787879,4,281,39.23243134,1539.183669,10.27272727,2,277,39.08946304,1527.986121,0,0,0,0,0,0,0,0,3,13,132,MASTER,1,129,0,0,0,65,67,WARM_RESTART
623,67,192.168.1.3-192.168.1.2-20000-40837,192.168.1.3,192.168.1.2,20000,40837,6, 18/05/2020  20:56:27 ,119048772,12,7,2816,2804,2756,245,238,224,485,7,234.6666667,151.275386,484,6,233.6666667,151.275386,480,2,229.6666667,151.275386,80,8,35,32.03123476,79,7,34,32.03123476,77,5,32,32.03123476,25.71215098,25.55255253,25.03175757,0.159598454,6613820.667,12304724.04,43516130,43,119048772,10822615.64,14806275.57,43516536,515,112277052,18712842,15729872.12,43555144,1590102,120,12,48,70,7,14,0.100799024,0.058799431,161.1052632,7,485,155.301819,24118.65497,160.1052632,6,484,155.301819,24118.65497,156.8421053,2,480,154.672149,23923.47368,463265.6667,636837.1163,1590102,406,19378148.5,14865295.43,43516130,6146861,11,1,19,OUTSTATION,1,129,0,0,0,7,12,REPLAY
24058,710,192.168.1.11-192.168.1.5-36435-20002,192.168.1.11,192.168.1.5,36435,20002,6, 16/05/2020  02:06:05 ,118059809,65,67,529,464,334,1357,1290,1022,17,5,8.138461538,1.712791244,16,4,7.138461538,1.712791244,14,2,5.138461538,1.712791244,282,7,20.25373134,54.57864586,281,6,19.25373134,54.57864586,277,2,15.25373134,54.57864586,15.97495385,14.85687648,11.48570383,1.118077364,901219.916,982890.4626,2000571,222,118059003,1844671.922,481025.8526,2002051,10489,118058795,1788769.621,568732.3467,2002610,222,650,65,130,670,67,268,0.550568399,0.567508965,14.28787879,5,282,39.23243134,1539.183669,13.28787879,4,281,39.23243134,1539.183669,10.27272727,2,277,39.08946304,1527.986121,0,0,0,0,0,0,0,0,3,13,132,MASTER,1,129,0,0,0,65,67,WARM_RESTART
31208,173,192.168.1.5-192.168.1.2-20000-46437,192.168.1.5,192.168.1.2,20000,46437,6, 16/05/2020  15:21:26 ,22243847,15,14,549,534,474,118,104,76,282,7,36.6,80.64188915,281,6,35.6,80.64188915,277,2,31.6,80.64188915,17,5,8.428571429,2.593313465,16,4,7.428571429,2.593313465,14,2,5.428571429,2.593313465,29.98582035,28.68208903,24.72593882,1.303731319,794423.1071,950788.3168,2000791,247,22243847,1588846.214,720725.0499,2001171,588,22242960,1710996.923,580088.3222,2001048,232054,150,15,60,140,14,28,0.674343786,0.629387534,23,5,282,58.82115752,3459.928571,22,4,281,58.82115752,3459.928571,18.96551724,2,277,58.58173945,3431.820197,0,0,0,0,0,0,0,0,13,1,29,OUTSTATION,1,129,0,0,0,14,15,NORMAL
20548,65,192.168.1.11-192.168.1.5-36435-20002,192.168.1.11,192.168.1.5,36435,20002,6, 15/05/2020  23:42:01 ,118058525,65,67,529,464,334,1357,1290,1022,17,5,8.138461538,1.712791244,16,4,7.138461538,1.712791244,14,2,5.138461538,1.712791244,282,7,20.25373134,54.57864586,281,6,19.25373134,54.57864586,277,2,15.25373134,54.57864586,15.97512759,14.85703807,11.48582874,1.118089524,901210.1145,972898.8763,2001084,153,118058211,1844659.547,431808.4302,2002095,87667,118058224,1788760.97,531171.4603,2001340,539,650,65,130,670,67,268,0.550574387,0.567515137,14.28787879,5,282,39.23243134,1539.183669,13.28787879,4,281,39.23243134,1539.183669,10.27272727,2,277,39.08946304,1527.986121,0,0,0,0,0,0,0,0,3,13,132,MASTER,1,129,0,0,0,65,67,WARM_RESTART
9289,235,192.168.1.2-192.168.1.9-49592-20000,192.168.1.2,192.168.1.9,49592,20000,6, 15/05/2020  01:26:04 ,118060207,62,64,514,452,328,1336,1272,1016,17,8,8.290322581,1.603143396,16,7,7.290322581,1.603143396,14,5,5.290322581,1.603143396,282,7,20.875,55.78459138,281,6,19.875,55.78459138,277,2,15.875,55.78459138,15.66997083,14.60271876,11.38402205,1.067252067,944481.656,1001249.172,2001237,160,118059288,1935398.164,354675.7429,2001956,11242,118059891,1873966.524,486136.0127,2002479,657,620,62,124,640,64,256,0.525155779,0.542096288,14.68253968,7,282,40.1193521,1609.562413,13.68253968,6,281,40.1193521,1609.562413,10.66666667,2,277,39.97359128,1597.888,0,0,0,0,0,0,0,0,1,17,126,MASTER,1,129,0,0,0,62,64,NORMAL
38076,38,192.168.1.1-192.168.1.3-56734-20001,192.168.1.1,192.168.1.3,56734,20001,6, 19/05/2020  00:56:10 ,118375797,62,64,514,452,328,1336,1272,1016,17,8,8.290322581,1.603143396,16,7,7.290322581,1.603143396,14,5,5.290322581,1.603143396,282,7,20.875,55.78459138,281,6,19.875,55.78459138,277,2,15.875,55.78459138,15.62819467,14.5637879,11.35367224,1.064406772,947006.376,1001509.037,2062892,230,118375073,1940574.967,343598.4976,2063613,5851,118375152,1878970.667,479046.5195,2063581,230,620,62,124,640,64,256,0.523755713,0.540651059,14.68253968,7,282,40.1193521,1609.562413,13.68253968,6,281,40.1193521,1609.562413,10.66666667,2,277,39.97359128,1597.888,0,0,0,0,0,0,0,0,2,11,126,MASTER,1,129,0,0,0,62,64,INIT_DATA
38081,43,192.168.1.1-192.168.1.3-56734-20001,192.168.1.1,192.168.1.3,56734,20001,6, 19/05/2020  01:06:12 ,118222681,62,64,514,452,328,1336,1272,1016,17,8,8.290322581,1.603143396,16,7,7.290322581,1.603143396,14,5,5.290322581,1.603143396,282,7,20.875,55.78459138,281,6,19.875,55.78459138,277,2,15.875,55.78459138,15.64843551,14.58265018,11.36837694,1.065785338,945781.448,990531.4295,2066665,254,118221985,1938065.328,275083.5982,2067459,506849,118221998,1876539.651,436483.9088,2067436,254,620,62,124,640,64,256,0.524434055,0.541351283,14.68253968,7,282,40.1193521,1609.562413,13.68253968,6,281,40.1193521,1609.562413,10.66666667,2,277,39.97359128,1597.888,0,0,0,0,0,0,0,0,2,11,126,MASTER,1,129,0,0,0,62,64,INIT_DATA
20358,744,192.168.1.2-192.168.1.4-33135-20000,192.168.1.2,192.168.1.4,33135,20000,6, 16/05/2020  02:16:07 ,118063101,62,64,514,452,328,1336,1272,1016,17,8,8.290322581,1.603143396,16,7,7.290322581,1.603143396,14,5,5.290322581,1.603143396,282,7,20.875,55.78459138,281,6,19.875,55.78459138,277,2,15.875,55.78459138,15.66958672,14.60236082,11.383743,1.067225907,944504.808,1000117.006,2001293,495,118062472,1935450.361,353700.037,2001870,25792,118062408,1874006.476,482887.5064,2001942,25431,620,62,124,640,64,256,0.525142906,0.542083,14.68253968,7,282,40.1193521,1609.562413,13.68253968,6,281,40.1193521,1609.562413,10.66666667,2,277,39.97359128,1597.888,0,0,0,0,0,0,0,0,1,12,126,MASTER,1,129,0,0,0,62,64,NORMAL
29715,966,192.168.1.4-192.168.1.11-20000-38238,192.168.1.4,192.168.1.11,20000,38238,6, 16/05/2020  18:11:15 ,75,1,1,7,6,2,1000,999,997,7,7,7,-1,6,6,6,-1,2,2,2,-1,1000,1000,1000,-1,999,999,999,-1,997,997,997,-1,13426666.67,13400000,13320000,26666.66667,75,-1,75,75,0,0,0,0,0,0,0,0,0,0,10,1,4,10,1,2,13333.33333,13333.33333,503.5,7,1000,702.1570337,493024.5,502.5,6,999,702.1570337,493024.5,499.5,2,997,703.5712473,495012.5,0,0,0,0,0,0,0,0,12,1,2,OUTSTATION,5,130,0,0,0,1,1,DNP3_ENUMERATE
1800,95,192.168.1.12-192.168.1.5-57558-20003,192.168.1.12,192.168.1.5,57558,20003,6, 19/05/2020  12:54:17 ,118473582,62,63,514,452,328,885,822,570,17,8,8.290322581,1.603143396,16,7,7.290322581,1.603143396,14,5,5.290322581,1.603143396,282,7,14.04761905,40.37263069,281,6,13.04761905,40.37263069,277,2,9.047619048,40.37263069,11.80853973,10.75345219,7.579748876,1.055087538,955432.1129,991877.9415,2076263,207,118473326,1942185.672,263929.1922,2076520,596197,118473288,1910859.484,359617.8211,2076575,558,620,62,124,630,63,252,0.523323419,0.531764119,11.192,7,282,28.71570774,824.591871,10.192,6,281,28.71570774,824.591871,7.184,2,277,28.63208892,819.7965161,0,0,0,0,0,0,0,0,4,13,125,MASTER,1,129,0,0,0,62,63,STOP_APP
19954,424,192.168.1.11-192.168.1.3-37147-20002,192.168.1.11,192.168.1.3,37147,20002,6, 16/05/2020  02:42:05 ,118059244,66,68,534,468,336,1364,1296,1024,17,5,8.090909091,1.742917737,16,4,7.090909091,1.742917737,14,2,5.090909091,1.742917737,282,7,20.05882353,54.19365011,281,6,19.05882353,54.19365011,277,2,15.05882353,54.19365011,16.07667418,14.94165082,11.51964009,1.135023362,887663.4887,977005.5442,2001482,172,118058834,1816289.754,507196.1731,2001801,14823,118058803,1762071.687,588436.5908,2001844,492,660,66,132,680,68,272,0.559041357,0.575982004,14.1641791,5,282,38.94959033,1517.070587,13.1641791,4,281,38.94959033,1517.070587,10.14925373,2,277,38.80750789,1506.022669,0,0,0,0,0,0,0,0,3,11,134,MASTER,1,129,0,0,0,66,68,WARM_RESTART
831,86,192.168.1.12-192.168.1.5-57558-20003,192.168.1.12,192.168.1.5,57558,20003,6, 19/05/2020  14:12:30 ,118452327,62,64,514,452,328,1336,1272,1016,17,8,8.290322581,1.603143396,16,7,7.290322581,1.603143396,14,5,5.290322581,1.603143396,282,7,20.875,55.78459138,281,6,19.875,55.78459138,277,2,15.875,55.78459138,15.61809757,14.55437849,11.34633683,1.063719077,947618.616,1002757.873,2071057,244,118451649,1941830.311,343779.9508,2071680,49047,118451529,1880183,481790.4425,2071796,244,620,62,124,640,64,256,0.523417324,0.540301754,14.68253968,7,282,40.1193521,1609.562413,13.68253968,6,281,40.1193521,1609.562413,10.66666667,2,277,39.97359128,1597.888,0,0,0,0,0,0,0,0,4,13,126,MASTER,1,129,0,0,0,62,64,STOP_APP
32277,158,192.168.1.12-192.168.1.5-40200-20000,192.168.1.12,192.168.1.5,40200,20000,6, 16/05/2020  20:14:18 ,397,1,1,1000,999,997,7,6,2,1000,1000,1000,-1,999,999,999,-1,997,997,997,-1,7,7,7,-1,6,6,6,-1,2,2,2,-1,2536523.929,2531486.146,2516372.796,5037.783375,397,-1,397,397,0,0,0,0,0,0,0,0,0,0,10,1,2,10,1,4,2518.891688,2518.891688,503.5,7,1000,702.1570337,493024.5,502.5,6,999,702.1570337,493024.5,499.5,2,997,703.5712473,495012.5,0,0,0,0,0,0,0,0,0,0,2,MASTER,5,130,0,0,0,1,1,DNP3_INFO
15695,440,192.168.1.11-192.168.1.8-49537-20002,192.168.1.11,192.168.1.8,49537,20002,6, 15/05/2020  22:00:05 ,118057500,66,68,534,468,336,1364,1296,1024,17,5,8.090909091,1.742917737,16,4,7.090909091,1.742917737,14,2,5.090909091,1.742917737,282,7,20.05882353,54.19365011,281,6,19.05882353,54.19365011,277,2,15.05882353,54.19365011,16.07691167,14.94187155,11.51981026,1.135040129,887650.3759,974770.6564,2003323,182,118057112,1816263.262,498195.4174,2003692,12380,118057211,1762047.925,580740.9762,2003724,522,660,66,132,680,68,272,0.559049616,0.575990513,14.1641791,5,282,38.94959033,1517.070587,13.1641791,4,281,38.94959033,1517.070587,10.14925373,2,277,38.80750789,1506.022669,0,0,0,0,0,0,0,0,3,16,134,MASTER,1,129,0,0,0,66,68,COLD_RESTART
706,37,192.168.1.2-192.168.1.4-48948-20000,192.168.1.2,192.168.1.4,48948,20000,6, 18/05/2020  19:55:02 ,109132483,26,27,226,200,148,1077,1050,942,17,8,8.692307692,2.445718394,16,7,7.692307692,2.445718394,14,5,5.692307692,2.445718394,282,7,39.88888889,83.01220176,281,6,38.88888889,83.01220176,277,2,34.88888889,83.01220176,11.93961655,11.45396829,9.987860351,0.485648256,2098701.596,3592994.368,14966754,175,109132201,4365288.04,4138706.514,14967055,133022,109132111,4197388.885,4154082.833,14967032,443,260,26,52,270,27,108,0.23824254,0.247405715,24.58490566,7,282,60.7970881,3696.285922,23.58490566,6,281,60.7970881,3696.285922,20.56603774,2,277,60.5435347,3665.519594,5289529.714,7371085.333,17030526,209,10300784.71,2675555.747,14966754,7041792,1,12,53,MASTER,1,129,0,0,0,26,27,REPLAY
